Name,Status,Price,Stars,Ratings,Link
Nintendo Switch Pokémon Let's Go! Eevee Set Console with Monster Ball Plus JP,Brand New,"JPY 55,562",0,0,https://www.ebay.com/itm/Nintendo-Switch-Pokemon-Lets-Go-Eevee-Set-Console-with-Monster-Ball-Plus-JP/163642757448?hash=item2619de5148:g:LAMAAOSwqXRcrYW5
Nintendo Switch HAC-001 32GB Console With Gray Joy‑Con Works SAME DAY SHIPPING,Pre-Owned,"JPY 45,095",0,0,https://www.ebay.com/itm/Nintendo-Switch-HAC-001-32GB-Console-With-Gray-Joy-Con-Works-SAME-DAY-SHIPPING/164136434735?hash=item26374b3c2f:g:x~cAAOSwwDdeeS8W
"Nintendo Switch 32GB Console, Red and Blue Joycons + 2 Games & Case. Boxed",Pre-Owned,"JPY 41,843",Tim,0,https://www.ebay.com/itm/Nintendo-Switch-32GB-Console-Red-and-Blue-Joycons-2-Games-Case-Boxed/254543535960?hash=item3b43fa1f58:g:8lcAAOSwwRpecQMe
"Nintendo Switch 32GB Gray Console with Neon Red Neon Blue Joy-Con, V1, Brand New",Brand New,"JPY 53,892",5.0,0,https://www.ebay.com/itm/Nintendo-Switch-32GB-Gray-Console-with-Neon-Red-Neon-Blue-Joy-Con-V1-Brand-New/114157615449?epid=23024812516&hash=item1a9452f959:g:WdcAAOSwIexeeR8K
Nintendo Switch 32GB Gray Console Neon Red and Blue Joy-Con New Model Fast Ship,Brand New,"JPY 55,668",5.0,0,https://www.ebay.com/itm/Nintendo-Switch-32GB-Gray-Console-Neon-Red-and-Blue-Joy-Con-New-Model-Fast-Ship/164136283771?epid=23024812516&_trkparms=ispr%3D1&hash=item263748ee7b:g:yKcAAOSwbq5eeNbF&enc=AQAEAAACYBPxNw%2BVj6nta7CKEs3N0qW0LnD7omcu%2F9EItb0M6QVRIZTbnM3GMFiOKnwPOjLPUaQXbV7l77BQWToSEuJ2HeAgk6wDcoaY%2FlZSUjR1eEMaECos2%2FZdc6oqKjg70deE7AkelIf2NfHBL52eelg5z4nSL0uRsJrWwdgxCU%2FlcYyfQ0sxgW800OqpGwlAgJxpcAmit04WF61q2La12dRJWbXPl7LH0uLAQnPOzIShvNoMc%2BpHpWxggzis1TrAj6su%2BrzXRtyhp2MGY2gPT3NI8LjemQgQoI9LtD7uzbJ9Oh85baoLmY5RCuJsc5tPNw43fgrqaFDZFEMkNGhhowfJvlpyNtGFx%2Bfdurr2RQoFHaw8QjNvu0WY3gOk1TYpDDoAcBEFkbno4zgb9wbBlpqC%2F5MEbX9oQkag2h%2F9WW0r8Cty%2BMqDzdz5sF8i%2FKrwWbbw8EBWJ%2FflwbIxFjQS044AaB7mEpZX18Ea5pQ0xPVfZzAhqQw1jvHns3T5972JRIqxbWIvDFZ8knCmvB7vif3%2FEW3sjw0yIWQ68I%2FYa4jHo%2F7vRZqd6GLUyQp9N8KuaYQxmrPHUqZIPOIgKFsYTfNAuBjAvnbbiam586xLrk1uJlGuDA9u2lItEEfXZ1O5ivXf67YIm%2Bn54yxsuzAEkDm5c1CpilSbhiPObBZRHQRChweJTIWh9i%2FkwDbQKnsqXicBCexvgLadIX1hl5%2FBw%2F6sFX%2F0onBR5uBZZhBSzh1P4S%2F4W1cS4Ym6a3JW5HX2F8rE7HBOuad8ZazNyBw4N9PFknVKFV9kKGOQZYfTPj87NZWj&checksum=164136283771cae8b5a5092e4535867604eb69b5f409
Nintendo Switch Console with Neon Blue and Neon Red Joy‑Con Brand New Model,Brand New,"JPY 55,671",0,0,https://www.ebay.com/itm/Nintendo-Switch-Console-with-Neon-Blue-and-Neon-Red-Joy-Con-Brand-New-Model/174229263841?_trkparms=ispr%3D1&hash=item2890df95e1:g:bdQAAOSwg6VeeU7x&enc=AQAEAAACYBPxNw%2BVj6nta7CKEs3N0qXOxi5oFLHOHgt%2BFcdOZxLoqAk5FKhQ6m3xqn1nh%2Bqo5v7GjJpfSYrwvALi%2BtpLBakwqU6WfxYuU5CEBFk8fuCJ6Fm84DbeodP8EdFDhmtanfHJDJ1UmknaqyxDvu7Dr393UB93PuTjo31cM3cSPLzdQSUtgk2L0of%2Bn7coIeT3M7ONmeMD%2BamtWYPjeSy%2Ftu8kHLXVF4iIAYKIiZTZULJwX9H7Nuec%2BmCT1ElsS8PGyu4IzPLxPzgHPPca93sWkMvukl%2B%2F9eSqCM9wWFE8r99rVoHwv3GiJUC%2FX%2BDjS4Jmh%2BhWz8PGMm59pIJH4QBbuUB%2Bo5riSveJ%2F751zS7FM3uDkeBh3Vh83He%2BNj6l0ERW5e4AzODzyzntvrZmmDY77zaxk%2BQZqeZmuP08P2EAMomuNVFyjKmtrZKkOX8IvpI9Wwk6amcQw7nzKGuq93AvwpoO4o6KqNOwVJjAAXU%2Be25gPPq%2FbcjFe%2FanWDQQ%2B2OZhEKV6GtyKRIp761iPyeM1vzxjbzjPPBDJGZV%2BSgyOYrsXi4Kvo10IaYo2ZGZXGBOi9xpwJdGkohBFGuWzTS05aIdOkSzhlQIlnk7PFRGlPQaWXxrdMfcKurjn89T%2FMtBAyz7gHUQ7aepZkmz%2FBROxvR%2BYlnJvJvQaf8k3Qu00ykKpW8l7N3Ot9E3mDMZoJpx73pY4fgFQStU35VK4bsOyEazVS0WoJgZaklgeRPx4ofCSpP5JdjnE3uCQ5OLBh1hNd8U%2FVZ6sbrqACJgft8uwHX4KDTqCjZLmOEK1RFMAUnb&checksum=174229263841cae8b5a5092e4535867604eb69b5f409
New Version Nintendo Switch 32 GB Console - Neon Blue/Red Joy-Con HAC-001,Brand New,"JPY 54,003",0,0,https://www.ebay.com/itm/New-Version-Nintendo-Switch-32-GB-Console-Neon-Blue-Red-Joy-Con-HAC-001/293522442641?hash=item44574d0991:g:AuQAAOSw6wdeeRN~
Animal Crossing Nintendo Switch Console Bundle Controller Game Journal In Hand  ,Brand New,"JPY 111,345",4.5,0,https://www.ebay.com/itm/Animal-Crossing-Nintendo-Switch-Console-Bundle-Controller-Game-Journal-In-Hand/254549466071?epid=4037037457&hash=item3b44549bd7:g:4IkAAOSwfZpeeR9i
Nintendo Switch Console 5x Games Bundle,Pre-Owned,"JPY 43,151",Tim,0,https://www.ebay.com/itm/Nintendo-Switch-Console-5x-Games-Bundle/254547158378?hash=item3b4431656a:g:cbAAAOSwxuJedig-
Nintendo Nintendo Switch Console System Super Smash Bros. Set New free shipping,Brand New,"JPY 77,313",Nin,0,https://www.ebay.com/itm/Nintendo-Nintendo-Switch-Console-System-Super-Smash-Bros-Set-New-free-shipping/383367168895?epid=8023788874&hash=item594276c37f:g:-ZMAAOSwTs9eGqdT
Nintendo Switch Console 32GB + Accessories,Pre-Owned,"JPY 37,907",0,0,https://www.ebay.com/itm/Nintendo-Switch-Console-32GB-Accessories/184211022190?hash=item2ae3d5216e:g:Ck4AAOSwCKledWz-
Nintendo console switch (hac-001-01) - No Dock (Brand New),New (Other),"JPY 31,064",Tim,0,https://www.ebay.com/itm/Nintendo-Switch-Console-HAC-001-01-NO-Dock-Brand-New/264675534991?hash=item3d9fe4288f:g:UGwAAOSwfQtedqsl
